run_tag,source_file,solution_id,anchor_date,observed,model_cum,ratio_model_over_observed,replayed,note
boundprofile_baseline_R01.24_s1,bound_profile_i600.csv,baseline|R0=1.24|start=1,2025-07-21,2471.0,2721.1,1.101,True,scope=shunde; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.240)
boundprofile_baseline_R01.24_s1,bound_profile_i600.csv,baseline|R0=1.24|start=1,2025-07-26,4208.0,3221.4,0.766,True,scope=shunde; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.240)
boundprofile_baseline_R01.24_s1,bound_profile_i600.csv,baseline|R0=1.24|start=1,2025-07-19,1873.0,3590.7,1.917,True,scope=city; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.240)
boundprofile_baseline_R01.24_s1,bound_profile_i600.csv,baseline|R0=1.24|start=1,2025-07-21,2659.0,3796.6,1.428,True,scope=city; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.240)
boundprofile_baseline_R01.24_s1,bound_profile_i600.csv,baseline|R0=1.24|start=1,2025-07-22,3195.0,3906.5,1.223,True,scope=city; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.240)
boundprofile_baseline_R01.24_s1,bound_profile_i600.csv,baseline|R0=1.24|start=1,2025-07-24,4014.0,4137.0,1.031,True,scope=city; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.240)
boundprofile_baseline_R01.24_s1,bound_profile_i600.csv,baseline|R0=1.24|start=1,2025-07-26,4754.0,4377.8,0.921,True,scope=city; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.240)
boundprofile_baseline_R01.24_s1,bound_profile_i600.csv,baseline|R0=1.24|start=1,2025-08-02,7524.0,5251.4,0.698,True,scope=city; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.240)
boundprofile_baseline_R01.24_s1,bound_profile_i600.csv,baseline|R0=1.24|start=1,2025-08-09,8736.0,6108.1,0.699,True,scope=city; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.240)
boundprofile_baseline_R01.5_s1,bound_profile_i600.csv,baseline|R0=1.5|start=1,2025-07-15,478.0,1394.9,2.918,True,scope=shunde; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.500)
boundprofile_baseline_R01.5_s1,bound_profile_i600.csv,baseline|R0=1.5|start=1,2025-07-18,1161.0,1553.5,1.338,True,scope=shunde; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.500)
boundprofile_baseline_R01.5_s1,bound_profile_i600.csv,baseline|R0=1.5|start=1,2025-07-19,1790.0,1617.4,0.904,True,scope=shunde; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.500)
boundprofile_baseline_R01.5_s1,bound_profile_i600.csv,baseline|R0=1.5|start=1,2025-07-20,2285.0,1687.0,0.738,True,scope=shunde; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.500)
boundprofile_baseline_R01.5_s1,bound_profile_i600.csv,baseline|R0=1.5|start=1,2025-07-21,2471.0,1762.0,0.713,True,scope=shunde; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.500)
